TimeStep,Time,KineticEnergy,PotentialEnergy,TotalEnergy,Virial,Temperature,MeanSquareDisplacement
189,0.9500000000000007,342.66543022500645,-2419.8685739918133,-2077.203143766807,-3711.8036730876815,0.45688724030000855,0.05891241685987229
190,0.9550000000000007,343.2513767002544,-2420.455601211484,-2077.2042245112298,-3727.7497839298253,0.45766850226700584,0.05889239905716773
191,0.9600000000000007,344.02681127420186,-2421.233050991912,-2077.20623971771,-3747.077320667106,0.4587024150322691,0.05886618835285009
192,0.9650000000000007,344.9589568199719,-2422.1680502280296,-2077.209093408058,-3769.1660799634747,0.4599452757599625,0.05883409321724276
193,0.9700000000000008,346.0021867779638,-2423.2145325399943,-2077.2123457620305,-3793.1639853415586,0.46133624903728504,0.05879650540702614
194,0.9750000000000008,347.1044502092414,-2424.319745003347,-2077.215294794106,-3818.1518019132645,0.46280593361232186,0.058753879313348197
195,0.9800000000000008,348.2178220142563,-2425.4349071678917,-2077.2170851536353,-3843.290706458217,0.46429042935234166,0.05870670656403355
196,0.9850000000000008,349.31041156623814,-2426.5275356871393,-2077.217124120901,-3867.9667828660786,0.4657472154216508,0.05865549360336995
197,0.9900000000000008,350.3745548543884,-2427.589991141246,-2077.2154362868578,-3891.9343365400105,0.4671660731391845,0.05860075017426914
198,0.9950000000000008,351.42612626439717,-2428.6389670631297,-2077.2128407987325,-3915.314160017746,0.4685681683525295,0.05854299519115114
199,1.0000000000000007,352.49229758113466,-2429.703170501257,-2077.2108729201223,-3938.36661411737,0.4699897301081795,0.058482778704695905
200,1.0050000000000006,353.59035873635077,-2430.80142418306,-2077.211065446709,-3961.25595592828,0.47145381164846767,0.058420710054243
201,1.0100000000000005,354.70639015446784,-2431.920594581875,-2077.214204427407,-3983.7297657525664,0.4729418535392904,0.05835747558068962
202,1.0150000000000003,355.78497320714035,-2433.0047275252264,-2077.219754318086,-4005.000997592628,0.4743799642761871,0.05829382853207196
203,1.0200000000000002,356.7366811830155,-2433.9627815088743,-2077.2261003258586,-4023.818129780034,0.4756489082440206,0.05823054344112323
204,1.0250000000000001,357.4609319696244,-2434.692214250198,-2077.2312822805734,-4038.78131874486,0.47661457595949924,0.05816834218673594
205,1.03,357.8737675535913,-2435.1076078607493,-2077.233840307158,-4048.782565544871,0.4771650234047884,0.05810781084031301
206,1.035,357.929614819643,-2435.162768930001,-2077.233154110358,-4053.2446001130756,0.47723948642619063,0.058049329936522516
207,1.0399999999999998,357.63190072888415,-2434.8611682860796,-2077.2292675571953,-4052.2944064033913,0.47684253430517887,0.05799303507867657
208,1.0449999999999997,357.03289236923723,-2434.2556608175223,-2077.222768448285,-4046.805837828024,0.4760438564923163,0.05793881483489795
